tahun,harga,transmisi,jarak_tempuh,pajak,mpg,ukuran_mesin,Kategori_Mesin
2020,136000000,0,24089,1725250,20.0,1.0,0
2017,200000000,0,19400,1200000,22.0,1.2,0
2014,117000000,0,68000,1000000,22.0,1.0,0
2012,173000000,1,150000,2400000,20.0,1.2,0
2018,200000000,0,149000,3000000,22.0,1.5,0
2012,105000000,0,28000,3500000,25.0,1.5,0
2012,105000000,0,109000,2989000,23.0,1.3,0
2014,157000000,0,120000,2800000,23.0,1.3,0
2018,128000000,0,85700,2000000,25.0,1.2,0
2016,129000000,2,75438,2000000,25.0,1.3,0
2012,105000000,0,10000,3500000,23.0,1.3,0
2013,156000000,0,180000,3880000,24.0,1.4,0
2016,87000000,0,10000,1371000,22.0,1.0,0
2012,108000000,0,60000,3507000,24.0,1.4,0
2019,164000000,0,50000,3507000,24.0,1.4,0
2013,125000000,0,120000,2000000,22.0,1.5,0
2017,134000000,0,58074,1371000,22.0,1.0,0
2021,189000000,0,40000,2800000,25.0,1.5,0
2017,134000000,0,21542,1371000,25.0,1.2,0
2021,170390000,2,47300,1500000,22.0,1.2,0
2019,97000000,0,5000,1371000,25.0,1.2,0
2017,125000000,0,52580,1800000,25.0,1.3,0
2019,136000000,0,45000,2000000,22.0,1.2,0
2014,140000000,0,75000,3250000,25.0,1.5,0
2016,110000000,0,87540,2000000,25.0,1.2,0
2019,125000000,1,45000,1371000,25.0,1.2,0
2015,92000000,0,50000,1500000,22.0,1.0,0
2014,95000000,1,150000,2000000,25.0,1.2,0
2016,87000000,0,63000,1371000,22.0,1.0,0
2020,152000000,0,55949,2800000,23.0,1.3,0
2015,109000000,0,98000,1371000,22.0,1.0,0
2013,140000000,1,125421,2000000,22.0,1.5,0
2017,128000000,0,94728,2000000,22.0,1.2,0
2012,104000000,0,89560,3371000,25.0,1.5,0
2015,135000000,0,120000,2320000,22.0,1.5,0
2023,108600000,0,110000,2000000,25.0,1.2,0
2018,120000000,0,10000,2000000,25.0,1.2,0
2016,128000000,0,112412,2000000,22.0,1.2,0
2014,95000000,0,10000,2000000,25.0,1.2,0
2018,120000000,1,28000,2000000,25.0,1.2,0
2013,230000000,1,117000,3200000,22.0,1.5,0
2014,110000000,0,112000,2800000,23.0,1.3,0
2018,120000000,0,55600,1725250,22.0,1.2,0
2008,73000000,1,25000,3371000,25.0,1.5,0
2021,207150000,0,45730,2800000,23.0,1.3,0
